,link,location,district,HouseType,Celková cena,ID zakázky,Aktualizace,Stavba,Stav objektu,Poloha domu,Typ domu,Podlaží,Plocha zastavěná,Užitná plocha,Plocha podlahová,Plocha pozemku,Plocha zahrady,Sklep,Datum nastěhování,Voda,Topení,Plyn,Odpad,Doprava,Komunikace,Energetická náročnost budovy,Bezbariérový,Vybavení,companyName,proximityIndex,Index,Poznámka k ceně,Elektřina,Ukazatel energetické náročnosti budovy,Umístění objektu,Parkování,Garáž,Rok rekonstrukce,Výtah,Cena,Rok kolaudace,Telekomunikace,Průkaz energetické náročnosti budovy,Bazén,Počet bytů,ID,Náklady na bydlení,Zlevněno,Původní cena,Plocha bazénu,Výška stropu,Stav,Půdní vestavba,Vyvolávací cena,Znalecký posudek,Minimální příhoz,Aukční jistina,Druh dražby,Místo konání dražby,Datum konání dražby,Dražební vyhláška,Posudek znalce,Datum prohlídky,Datum zahájení prodeje,Minimální kupní cena,Termín 1. prohlídky,Termín 2. prohlídky,Datum ukončení výstavby,Datum prohlídky do
21,https://www.sreality.cz/detail/prodej/dum/rodinny/velka-hledsebe-mala-hledsebe-/792471372,"Velká Hleďsebe - Malá Hleďsebe, okres Cheb",cheb,"rodinne-domy
",950 000 Kč za nemovitost,3341/3987,15.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Patrový,14,636 m2,120 m2,120 m2,851 m2,215 m2,1,Ihned,Studna,Lokální tuhá paliva,,Jímka,,Asfaltová,Třída G - Mimořádně nehospodárná,0,,Nemovitosti SEVER s.r.o.,2797.0,21,Kupní cena včetně provize zprostředkovatele a právního servisu.,230V,,,3,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,https://www.sreality.cz/detail/prodej/dum/rodinny/tepla-tepla-havlickova/3101501260,"Havlíčkova, Teplá",cheb,"rodinne-domy
",2 100 000 Kč za nemovitost,6803,14.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,347 m2,694 m2,,463 m2,,,,,,,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,Částečně,Euro Reality Plzeň,512.4166666666666,22,,,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,https://www.sreality.cz/detail/prodej/dum/rodinny/as-mokriny-/543959900,"Aš - Mokřiny, okres Cheb",cheb,"rodinne-domy
",8 600 000 Kč za nemovitost,94,13.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,268 m2,180 m2,190 m2,2142 m2,1874 m2,,Ihned,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,1,0,VOYTA Reality,1437.6666666666667,23,,"230V, 400V",,,1,1,,,,,"Internet, Satelit",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,https://www.sreality.cz/detail/prodej/dum/rodinny/marianske-lazne-usovice-palackeho/2259486284,"Palackého, Mariánské Lázně - Úšovice",cheb,"rodinne-domy
",17 000 000 Kč za nemovitost,809086,17.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,5 včetně 1 podzemního,,480 m2,,621 m2,,,Ihned,Dálkový vodovod,Lokální plynové,,Veřejná kanalizace,"Silnice, MHD",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,790.6111111111111,24,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"120V, 230V",,Klidná část obce,2,,,0,,,"Telefon, Internet",,,,,,,,,,,,,,,,,,,,,,,,,,,
25,https://www.sreality.cz/detail/prodej/dum/rodinny/liba--/3172415308,"Libá, okres Cheb",cheb,"rodinne-domy
",5 990 000 Kč za nemovitost,,11.10.2022,Cihlová,Dobrý,Samostatný,Patrový,2 včetně 1 podzemního,,190 m2,160 m2,1425 m2,1370 m2,1,,"Dálkový vodovod, Studna","Lokální tuhá paliva, Ústřední tuhá paliva",Individuální,Veřejná kanalizace,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,Vladimíra Šestáková,2280.6666666666665,25,,"230V, 400V",,Klidná část obce,1,,,,,,"Internet, Satelit",,,,3172415308,,,,,,,,,,,,,,,,,,,,,,,
26,https://www.sreality.cz/detail/prodej/dum/rodinny/skalna-skalna-zahradni/2410002780,"Zahradní, Skalná",cheb,"rodinne-domy
",4 149 000 Kč za nemovitost,792442,20.10.2022,Cihlová,Dobrý,Samostatný,Patrový,4 včetně 1 podzemního,,222 m2,,637 m2,,1,Ihned,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,"Silnice, MHD, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,471.38461538461536,26,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"120V, 230V, 400V",,Klidná část obce,3,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,https://www.sreality.cz/detail/prodej/dum/rodinny/plesna-plesna-revolucni/3708062044,"Revoluční, Plesná",cheb,"rodinne-domy
",3 649 000 Kč za nemovitost,794289,21.10.2022,Cihlová,Dobrý,Řadový,Patrový,3 včetně 1 podzemního,,250 m2,,359 m2,,,Ihned,Dálkový vodovod,Lokální plynové,,Veřejná kanalizace,"Vlak, Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,1719.7142857142858,27,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,230V,,Klidná část obce,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,https://www.sreality.cz/detail/prodej/dum/rodinny/tepla-tepla-masarykovo-namesti/2581075532,"Masarykovo náměstí, Teplá",cheb,"rodinne-domy
",3 150 000 Kč za nemovitost,42964,10.10.2022,Smíšená,Dobrý,Řadový,Patrový,2,,190 m2,,299 m2,,1,Ihned,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,Částečně,"Broker Consulting, a.s.",296.25,28,,230V,,,,,,0,,,Internet,,,,,6400,,,,,,,,,,,,,,,,,,,,,,
29,https://www.sreality.cz/detail/prodej/dum/rodinny/frantiskovy-lazne-aleje-zatisi-aleje/4123801420,"Aleje, Františkovy Lázně - Aleje-Zátiší",cheb,"rodinne-domy
",8 790 000 Kč za nemovitost (k jednání),01521,14.10.2022,Cihlová,Dobrý,Samostatný,Patrový,2,147 m2,1043 m2,138 m2,905 m2,758 m2,,,Dálkový vodovod,"Lokální tuhá paliva, Lokální elektrické",,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,Částečně,RK23,1217.3333333333333,29,"včetně provize, včetně právního servisu, cena k jednání","230V, 400V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,https://www.sreality.cz/detail/prodej/dum/rodinny/velka-hledsebe--/2381998940,"Velká Hleďsebe, okres Cheb",cheb,"rodinne-domy
",,781152,17.10.2022,Cihlová,Novostavba,Samostatný,Patrový,2,,400 m2,,1365 m2,,,Ihned,Dálkový vodovod,Jiné,,Veřejná kanalizace,"Silnice, MHD, Autobus",,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,,0,M&M reality,1130.7777777777778,30,info u RK. V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"120V, 230V",,Klidná část obce,4,,,0,Informace o ceně na dotaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,https://www.sreality.cz/detail/prodej/dum/rodinny/marianske-lazne-usovice-/536549468,"Mariánské Lázně - Úšovice, okres Cheb",cheb,"rodinne-domy
",25 500 000 Kč za nemovitost,788008,17.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,4 včetně 1 podzemního,,520 m2,,737 m2,,1,,Dálkový vodovod,Lokální plynové,,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,1,M&M reality,710.1111111111111,31,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,230V,,Klidná část obce,2,1,,0,,,Telefon,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,https://www.sreality.cz/detail/prodej/dum/rodinny/valy-valy-na-strani/791017820,"Na Stráni, Valy",cheb,"rodinne-domy
",,01409,18.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2 včetně 1 podzemního,180 m2,315 m2,,923 m2,,,,Dálkový vodovod,"Lokální plynové, Lokální tuhá paliva, Jiné",Plynovod,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,,Částečně,RK23,2507.777777777778,32,"včetně provize, včetně právního servisu, cena k jednání","230V, 400V","130,0 kWh/m^2 za rok",Klidná část obce,1,1,,,,,"Internet, Satelit, Kabelové rozvody, Ostatní",Zobrazit průkaz energetické náročnosti budovy,1,,,,14 900 000 Kč za nemovitost (k jednání),15 500 000 Kč,15 m2,,,,,,,,,,,,,,,,,,,
33,https://www.sreality.cz/detail/prodej/dum/rodinny/drmoul-drmoul-hamrnicka/321996364,"Hamrnická, Drmoul",cheb,"rodinne-domy
",6 790 000 Kč za nemovitost (k jednání),01501,14.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,81 m2,493 m2,122 m2,371 m2,,,,Dálkový vodovod,"Lokální plynové, Lokální tuhá paliva",Plynovod,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,Částečně,RK23,1973.111111111111,33,"včetně provize, včetně právního servisu, cena k jednání","230V, 400V",,,,,,,,2005,"Internet, Ostatní",,,,,,,,,,,,,,,,,,,,,,,,,,,
34,https://www.sreality.cz/detail/prodej/dum/rodinny/valy-valy-na-strani/4042434380,"Na Stráni, Valy",cheb,"rodinne-domy
",12 750 000 Kč za nemovitost,01507,21.10.2022,Dřevěná,Velmi dobrý,Samostatný,Patrový,,120 m2,1451 m2,170 m2,1281 m2,,5 m2,,Dálkový vodovod,"Lokální tuhá paliva, Lokální elektrické",,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,Částečně,RK23,2551.777777777778,34,"včetně provize, včetně právního servisu","230V, 400V",,Klidná část obce,2,1,,,,,"Internet, Satelit, Kabelové rozvody, Ostatní",,,,,,,,,,,,,,,,,,,,,,,,,,,
35,https://www.sreality.cz/detail/prodej/dum/rodinny/as-kopaniny-/1617573708,"Aš - Kopaniny, okres Cheb",cheb,"rodinne-domy
",1 900 000 Kč za nemovitost,815437,12.10.2022,Cihlová,Před rekonstrukcí,,Patrový,3 včetně 1 podzemního,,210 m2,,721 m2,,,Ihned,Místní zdroj,Lokální tuhá paliva,,Septik,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,2208.6470588235293,35,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"120V, 230V, 400V",,Okraj obce,3,1,1995,0,,,"Telefon, Internet, Kabelová televize",,,,,,,,,,,,,,,,,,,,,,,,,,,
36,https://www.sreality.cz/detail/prodej/dum/rodinny/marianske-lazne-usovice-palackeho/755709772,"Palackého, Mariánské Lázně - Úšovice",cheb,"rodinne-domy
",4 200 000 Kč za nemovitost,641613,06.10.2022,Cihlová,Dobrý,Samostatný,Patrový,2,276 m2,220 m2,,790 m2,,1,,,Jiné,,,,,Třída G - Mimořádně nehospodárná,,,Dumrealit.cz Premium,859.0,36,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,https://www.sreality.cz/detail/prodej/dum/rodinny/cheb-cheb-pisecna/362137420,"Písečná, Cheb",cheb,"rodinne-domy
",9 900 000 Kč za nemovitost,22053,06.10.2022,Cihlová,Dobrý,,Patrový,,,180 m2,,671 m2,,90 m2,,Dálkový vodovod,Ústřední plynové,,Veřejná kanalizace,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,Reala Lakomá,504.44444444444446,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
