,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,location,district,HouseType,total price,Job ID,Update,Building,Object status,Location of the house,Home type,The floor,Built-up area,Usable area,Floor area,Land area,Garden area,Store,Move-in date,Water,Heating,Gas,Garbage,Transport,Communication,Energy efficiency of the building,Barrier-free,Equipment,companyName,proximityIndex,Index,Note on price,Electricity,Indicator of energy efficiency of the building,Object location,Parking,Garage,Year of reconstruction,Lift,Cena,Year of approval,Telecommunication,Certificate of energy performance of the building,Swimming pool,Number of flats,ID,Housing costs,Discounted,Original price,Pool area,Ceiling height,Condition,Soil construction,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,Auction decree,Expert opinion.1,Inspection date,Sale start date,Minimum purchase price,The date of the 1st inspection,The date of the 2nd inspection,Date of completion of construction,Inspection date to,locationLat,locationLong
10,10,10,10,https://www.sreality.cz/detail/prodej/dum/rodinny/hranice-pastviny-/1625167436,"Hranice - Pastviny, okres Cheb",cheb,"rodinne-domy
",3 500 000 Kč za nemovitost,146,18.10.2022,Cihlová,Po rekonstrukci,Samostatný,Patrový,2,60 m2,80 m2,80 m2,3488 m2,3418 m2,,Ihned,Studna,Ústřední tuhá paliva,,Septik,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0.0,1,VOYTA Reality,2372.090909090909,10,,"230V, 400V",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2752396,12.1522741
11,11,11,11,https://www.sreality.cz/detail/prodej/dum/rodinny/as-as-tyrsova/3758605900,"Tyršova, Aš",cheb,"rodinne-domy
",7 490 000 Kč za nemovitost,0251-NP00597,18.10.2022,Smíšená,Velmi dobrý,Samostatný,Patrový,3,117 m2,350 m2,,1084 m2,,,Ihned,,,Plynovod,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,RE/MAX Air,471.06666666666666,11,,,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2152013,12.1941406
12,12,12,12,https://www.sreality.cz/detail/prodej/dum/rodinny/zadub-zavisin-zavisin-/890513228,"Zádub-Závišín - Závišín, okres Cheb",cheb,"rodinne-domy
",5 800 000 Kč za nemovitost,202201,18.10.2022,Cihlová,Po rekonstrukci,,Patrový,2,115 m2,149 m2,,561 m2,446 m2,,,Dálkový vodovod,"Ústřední elektrické, Podlahové",,ČOV pro celý objekt,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,0,Mobeka group,2631.8888888888887,12,,"120V, 400V",,Klidná část obce,4.0,,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9708773,12.7434129
13,13,13,13,https://www.sreality.cz/detail/prodej/dum/rodinny/as-as-elisky-krasnohorske/3579688780,"Elišky Krásnohorské, Aš",cheb,"rodinne-domy
",2 990 000 Kč za nemovitost,N96251,17.10.2022,Cihlová,Dobrý,Řadový,Patrový,3 včetně 1 podzemního,87 m2,150 m2,,249 m2,123 m2,50 m2,,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0.0,0,NEXT REALITY CHEB,596.9333333333333,13,,400V,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.219483,12.2035011
14,14,14,14,https://www.sreality.cz/detail/prodej/dum/rodinny/liba-liba-/1099376460,"Libá, okres Cheb",cheb,"rodinne-domy
",2 290 000 Kč za nemovitost,02-01044,21.10.2022,Cihlová,Před rekonstrukcí,Samostatný,Patrový,3 včetně 1 podzemního,599 m2,200 m2,,813 m2,,60 m2,,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,"Vlak, Autobus",,Třída G - Mimořádně nehospodárná,,1,Reality Smajlík s.r.o.,2276.333333333333,14,,"230V, 400V",,Centrum obce,,1.0,,,,,Internet,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,50.12453735,12.223342127910534
15,15,15,15,https://www.sreality.cz/detail/prodej/dum/rodinny/marianske-lazne-usovice-na-pruhonu/3139893068,"Na Průhonu, Mariánské Lázně - Úšovice",cheb,"rodinne-domy
",6 990 000 Kč za nemovitost,191893,17.10.2022,Cihlová,Dobrý,Samostatný,Patrový,3 včetně 1 podzemního,426 m2,226 m2,226 m2,426 m2,,,,Dálkový vodovod,Lokální plynové,,,,Asfaltová,Třída G - Mimořádně nehospodárná,,1,Bidli,781.5,15,,400V,,Klidná část obce,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9549659,12.7082701
16,16,16,16,https://www.sreality.cz/detail/prodej/dum/rodinny/tepla-babice-/1646324060,"Teplá - Babice, okres Cheb",cheb,"rodinne-domy
",3 850 000 Kč za nemovitost,29947,17.10.2022,Cihlová,Dobrý,Samostatný,Patrový,3,401 m2,134 m2,134 m2,1066 m2,,,,,Jiné,,,,,Třída G - Mimořádně nehospodárná,,,Mgr. Jolana Sittinger,4077.75,16,Cena včetně provize a právního servisu,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0051859,12.8073808
17,17,17,17,https://www.sreality.cz/detail/prodej/dum/rodinny/tepla-babice-/2663590748,"Teplá - Babice, okres Cheb",cheb,"rodinne-domy
",24 000 000 Kč za nemovitost,29630,17.10.2022,Cihlová,Novostavba,Samostatný,Patrový,3,198 m2,623 m2,623 m2,7884 m2,,1,,,Jiné,,,,,Třída G - Mimořádně nehospodárná,,,Mgr. Jolana Sittinger,4025.5,17,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0051859,12.8073808
18,18,18,18,https://www.sreality.cz/detail/prodej/dum/rodinny/mnichov-rajov-/248219996,"Mnichov - Rájov, okres Cheb",cheb,"rodinne-domy
",7 600 000 Kč za nemovitost,23851,16.10.2022,Cihlová,Novostavba,Samostatný,Patrový,2,108 m2,177 m2,177 m2,1586 m2,,,,,Jiné,,,,,Třída G - Mimořádně nehospodárná,,,Reality 11 slusnymakler.cz,4175.055555555556,18,cena včetně právního servisu a provize RK,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9972521,12.7625067
19,19,19,19,https://www.sreality.cz/detail/prodej/dum/rodinny/frantiskovy-lazne-dolni-lomany-ceska/1972942412,"Česká, Františkovy Lázně - Dolní Lomany",cheb,"rodinne-domy
",4 399 000 Kč za nemovitost,802237,14.10.2022,Cihlová,Dobrý,V bloku,Patrový,3 včetně 1 podzemního,,157 m2,,388 m2,,,Ihned,Dálkový vodovod,Lokální plynové,,Veřejná kanalizace,"Vlak, Silnice, Autobus",,Třída E - Nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,693.7333333333333,19,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"120V, 230V","187,0 kWh/m^2 za rok",Klidná část obce,3.0,1.0,2012.0,0.0,,,Internet,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,50.124633,12.3432136
20,20,20,20,https://www.sreality.cz/detail/prodej/dum/rodinny/lipova-lipova-/3641452364,"Lipová, okres Cheb",cheb,"rodinne-domy
",350 000 Kč za nemovitost,3342/3987,15.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Patrový,2,294 m2,90 m2,90 m2,1301 m2,1007 m2,1,Ihned,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,0.0,,Nemovitosti SEVER s.r.o.,1028.625,20,Kupní cena včetně provize zprostředkovatele a právního servisu.,230V,,,2.0,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.036358,12.4487476
21,21,21,21,https://www.sreality.cz/detail/prodej/dum/rodinny/velka-hledsebe-mala-hledsebe-/792471372,"Velká Hleďsebe - Malá Hleďsebe, okres Cheb",cheb,"rodinne-domy
",950 000 Kč za nemovitost,3341/3987,15.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Patrový,14,636 m2,120 m2,120 m2,851 m2,215 m2,1,Ihned,Studna,Lokální tuhá paliva,,Jímka,,Asfaltová,Třída G - Mimořádně nehospodárná,0.0,,Nemovitosti SEVER s.r.o.,2797.0,21,Kupní cena včetně provize zprostředkovatele a právního servisu.,230V,,,3.0,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9539818,12.6666214
22,22,22,22,https://www.sreality.cz/detail/prodej/dum/rodinny/tepla-tepla-havlickova/3101501260,"Havlíčkova, Teplá",cheb,"rodinne-domy
",2 100 000 Kč za nemovitost,6803,14.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,347 m2,694 m2,,463 m2,,,,,,,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,Částečně,Euro Reality Plzeň,512.4166666666666,22,,,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9847313,12.8602331
23,23,23,23,https://www.sreality.cz/detail/prodej/dum/rodinny/as-mokriny-/543959900,"Aš - Mokřiny, okres Cheb",cheb,"rodinne-domy
",8 600 000 Kč za nemovitost,94,13.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,268 m2,180 m2,190 m2,2142 m2,1874 m2,,Ihned,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,1.0,0,VOYTA Reality,1437.6666666666667,23,,"230V, 400V",,,1.0,1.0,,,,,"Internet, Satelit",,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2123211,12.2101758
24,24,24,24,https://www.sreality.cz/detail/prodej/dum/rodinny/marianske-lazne-usovice-palackeho/2259486284,"Palackého, Mariánské Lázně - Úšovice",cheb,"rodinne-domy
",17 000 000 Kč za nemovitost,809086,17.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,5 včetně 1 podzemního,,480 m2,,621 m2,,,Ihned,Dálkový vodovod,Lokální plynové,,Veřejná kanalizace,"Silnice, MHD",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,790.6111111111111,24,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"120V, 230V",,Klidná část obce,2.0,,,0.0,,,"Telefon, Internet",,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9529596,12.7136006
25,25,25,25,https://www.sreality.cz/detail/prodej/dum/rodinny/liba--/3172415308,"Libá, okres Cheb",cheb,"rodinne-domy
",5 990 000 Kč za nemovitost,,11.10.2022,Cihlová,Dobrý,Samostatný,Patrový,2 včetně 1 podzemního,,190 m2,160 m2,1425 m2,1370 m2,1,,"Dálkový vodovod, Studna","Lokální tuhá paliva, Ústřední tuhá paliva",Individuální,Veřejná kanalizace,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,Vladimíra Šestáková,2280.6666666666665,25,,"230V, 400V",,Klidná část obce,1.0,,,,,,"Internet, Satelit",,,,3172415308.0,,,,,,,,,,,,,,,,,,,,,,,,50.12453735,12.223342127910534
26,26,26,26,https://www.sreality.cz/detail/prodej/dum/rodinny/skalna-skalna-zahradni/2410002780,"Zahradní, Skalná",cheb,"rodinne-domy
",4 149 000 Kč za nemovitost,792442,20.10.2022,Cihlová,Dobrý,Samostatný,Patrový,4 včetně 1 podzemního,,222 m2,,637 m2,,1,Ihned,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,"Silnice, MHD, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,471.38461538461536,26,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"120V, 230V, 400V",,Klidná část obce,3.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1712645,12.360699
